Clan Tag,Tag,league,builderBaseLeague,role,attackWins,defenseWins,townHallLevel,name,expLevel,trophies,bestTrophies,donations,donationsReceived,builderHallLevel,builderBaseTrophies,bestBuilderBaseTrophies,warStars,clanCapitalContributions
%23UQ0PVPU2,%23RCQVYYGU,Unranked,Steel League I,coLeader,0,0,15,kwaaitjie,233,3280,5072,0,0,10,3723,4343,2312,568181
%23UQ0PVPU2,%23L99C0VQUC,Champion League III,Brass League I,member,1,3,13,Creamidreams,127,3218,3302,2,0,10,2533,3006,155,461246
%23UQ0PVPU2,%239RVQ0VLYY,Champion League III,Steel League III,member,1,1,13,Sh7TTYE,178,3200,3482,59,76,9,3367,3569,668,725637
%23UQ0PVPU2,%238JLRGP80G,Unranked,Steel League II,admin,0,0,13,Sir Martin,197,3112,3291,127,90,10,3551,3798,1714,1147119
%23UQ0PVPU2,%23C8GPP9UG,Unranked,Titanium League II,coLeader,0,0,15,Battle Axe,216,3078,4773,0,0,9,4040,4350,1946,347928
%23UQ0PVPU2,%23Y88UL8VR,Unranked,Iron League II,member,0,0,13,fielmeister,194,3172,3547,0,0,8,2943,3224,1373,622443
%23UQ0PVPU2,%238LUY0RRQ8,Master League I,Steel League III,member,0,3,14,L♡LA-P♡P,227,3035,4186,83,75,9,3217,3947,1092,465916
%23UQ0PVPU2,%23LV8JR8VCV,Master League I,Brass League I,member,1,0,13,big m,139,3026,3170,0,0,8,2576,2641,291,633140
%23UQ0PVPU2,%23Y9PVUQPLY,Unranked,Iron League I,member,0,0,13,ChriStieN,157,3005,3324,25,0,8,3007,3054,344,897221
%23UQ0PVPU2,%23928PPYC8,Unranked,Iron League II,member,0,0,13,Felicia,185,2789,3408,0,0,8,2813,2882,600,506203
%23UQ0PVPU2,%2382VGR2JRU,Master League III,Brass League II,admin,7,1,12,Bagems 2,147,2669,2801,0,0,7,2345,2364,478,929522
%23UQ0PVPU2,%232V0U9R0GP,Unranked,Copper League I,member,0,0,12,Liezlkie♡,148,2684,3256,0,0,6,1997,2262,1291,425270
%23UQ0PVPU2,%23CY09GQ8U,Unranked,Steel League III,member,0,0,12,Mike,155,2649,3407,0,0,9,3392,4228,384,344633
%23UQ0PVPU2,%23YGQ8J9PUJ,Unranked,Brass League II,member,0,0,12,UnknownBAIT,131,2638,3931,0,0,7,2304,2444,140,858203
%23UQ0PVPU2,%23LQCJG8CUR,Unranked,Iron League III,member,0,0,12,AidanWalterVB,139,2576,2875,0,0,8,2640,2669,221,352750
%23UQ0PVPU2,%232GCG09GP9,Crystal League I,Iron League III,member,0,1,13,*-MeTaLZeUs-*,163,2446,3437,3,77,9,2645,2834,226,312659
%23UQ0PVPU2,%23RL2LJLPP,Unranked,Iron League III,member,0,0,12,Clownīē,161,2297,3404,0,0,8,2714,2868,745,35500
%23UQ0PVPU2,%23PYG9J0LU8,Unranked,Brass League II,admin,0,0,15,Baas2,144,2173,3681,815,0,9,2265,2857,172,327246
%23UQ0PVPU2,%232VG0V8CV,Silver League II,Brass League II,admin,1,0,10,.BLAZE.,111,1168,1680,3,0,6,2211,2338,106,1420190
%23UQ0PVPU2,%23G8VUGUUPU,Silver League II,Copper League V,member,3,1,8,JAKES 2.0,54,1002,1260,0,0,5,1551,1693,0,185883
%23YUCUV00U,%23G0R0J0Q2L,Champion League III,Brass League I,member,40,1,15,okok,132,3317,5003,81,100,10,2409,2864,48,747175
%23YUCUV00U,%23QGPVYCPUV,Master League I,Brass League I,member,2,1,13,欧皇村,115,3120,3232,0,91,10,2562,2726,37,363472
%23YUCUV00U,%23QGLCPC9QU,Master League I,Stone League II,member,5,0,15,Lapuda,86,3024,3335,2,390,6,1361,1557,48,91430
%23YUCUV00U,%23QY8VJUYJP,Unranked,Wood League V,member,0,0,16,K朵e朵v灬i시n§Ω龍騰L✨,95,3010,4050,0,82,2,39,40,179,942107
%23YUCUV00U,%23JGVYCQPJ,Master League II,Brass League I,member,6,5,13,loxahoai,145,2947,2991,0,210,7,2410,2450,246,424006
%23YUCUV00U,%23QVLP08P29,Master League II,Brass League III,admin,83,0,16,star,120,2868,2920,10828,7139,8,2161,2202,17,297503
%23YUCUV00U,%23PLQ8UUVG8,Unranked,Platinum League III,member,0,0,13,hinson,181,2744,2856,0,0,10,4427,4719,339,733975
%23YUCUV00U,%238P8UPY0Y8,Unranked,Brass League I,member,0,0,12,Ge!,149,2528,2847,0,0,8,2490,2512,263,856007
%23YUCUV00U,%23PUQQ0VP0R,Crystal League II,Steel League III,member,0,1,13,hinson2.0,166,2306,2521,0,65,9,3286,3504,99,770735
%23YUCUV00U,%23QU0YCCP8P,Crystal League II,Copper League IV,member,15,0,12,莞尔一笑，风轻云淡,98,2271,2312,0,603,6,1669,1669,134,399223
%23YUCUV00U,%23QC22P9P9J,Crystal League III,Brass League II,member,200,1,14,Komorebi,98,2063,2860,7144,0,9,2381,2430,52,295766
%23YUCUV00U,%23QC28RP8J9,Gold League I,Wood League V,member,2,1,11,叶枫,96,1905,2230,0,67,2,80,80,20,537473
%23YUCUV00U,%23QCGCGGL2J,Gold League I,Iron League III,member,0,0,12,Hin3.0,124,1865,2003,0,0,7,2728,2728,69,648462
%23YUCUV00U,%23QJ2U2RQQQ,Unranked,,member,0,0,12,ㅤㅤㅤㅤㅤㅤㅤㅤ,106,1810,2473,0,0,0,0,0,154,533720
%23YUCUV00U,%23QUCQVRY0R,Gold League I,Wood League V,member,8,0,11,SkyCity,46,1807,1807,0,905,2,40,40,40,35000
%23YUCUV00U,%23QULGC0RPC,Gold League II,Copper League IV,member,7,0,10,M.连瑞,97,1701,2263,0,348,6,1608,1700,122,336661
%23YUCUV00U,%23L880QQJCQ,Gold League II,Copper League I,member,1,2,10,COC GURU,101,1697,2127,0,36,6,1939,2061,140,15424
%23YUCUV00U,%23GPPJJPUUG,Gold League II,,member,59,0,9,Loki之家,55,1599,1784,0,1193,0,0,0,0,0
%23YUCUV00U,%23GYPPL80LV,Gold League II,Copper League I,member,27,0,10,烂漫满屋,57,1648,1689,0,0,8,1942,2014,29,56185
%23YUCUV00U,%232VJGCLVPV,Unranked,Copper League V,leader,0,0,13,威酱,151,1574,2982,30,0,5,1556,1713,1188,115800
%23YUCUV00U,%23QC2YLJG9J,Unranked,Wood League III,member,0,0,10,Chinese,82,1545,1710,0,0,3,266,273,155,297302
%23YUCUV00U,%23GPLGPY8Y0,Gold League III,Stone League III,member,17,2,11,温盼,58,1500,1673,0,924,5,1289,1340,25,0
%23YUCUV00U,%23G9Q2RGLYP,Gold League III,Brass League I,member,18,1,9,zzc,69,1515,1525,0,344,9,2453,2503,60,123055
%23YUCUV00U,%23GPCU2UU2Y,Gold League III,Copper League I,member,7,0,9,九月飘香橙,75,1361,1631,0,121,6,1959,2064,42,265412
%23YUCUV00U,%23G9PPVPVRC,Unranked,Copper League IV,member,0,0,9,过客,68,1149,1458,0,0,5,1697,1738,22,176366
%23YUCUV00U,%23QJC290PGU,Unranked,Wood League IV,member,0,0,8,罗峰,58,1125,1210,0,0,3,192,202,18,224580
%23YUCUV00U,%23PCPL0Q0J8,Silver League II,Brass League III,member,4,3,9,warrior,86,1113,1783,0,0,6,2194,2346,28,194025
%23YUCUV00U,%23G92P0VVJC,Unranked,Stone League III,member,0,0,11,xixia771,42,989,1176,0,0,4,1254,1359,0,170025
%23YUCUV00U,%23GYUGRGJVJ,Silver League II,Stone League III,member,10,0,8,裂.,47,997,1067,0,20,4,1227,1315,24,139993
%23YUCUV00U,%23GQYQ2YL8J,Silver League III,Stone League III,member,30,0,7,sincan,32,856,941,80,170,4,1255,1333,12,0
%23YUCUV00U,%23G8JVV8CVR,Silver League III,Clay League I,member,3,0,7,心里的No.1,46,816,899,0,40,4,972,975,0,41510
%232LJR2L928,%23R2JY2L0G,Legend League,Titanium League II,coLeader,62,0,16,nutz™,279,5358,5966,1869,3554,10,4096,4843,3399,2599178
%232LJR2L928,%23UJGJPQV8,Legend League,Steel League II,coLeader,26,2,16,LilNutz™,251,5075,5587,65,2423,10,3447,4421,2899,1485035
%232LJR2L928,%23R8GCPUYV,Legend League,Titanium League II,coLeader,23,4,16,its ye whiteboi,242,5075,6183,2,1458,10,4000,4166,3399,1138521
%232LJR2L928,%239GUPQCLV,Titan League II,Iron League II,member,12,3,16,its ye nutz™,257,4491,5436,0,1560,9,2898,3131,2475,1039267
%232LJR2L928,%23QYU288VL,Titan League III,Titanium League III,leader,7,3,16,crzyglu21,253,4318,5512,441,532,10,3805,4772,2922,1645577
%232LJR2L928,%232VJV9U8L2,Titan League III,Steel League II,member,6,3,16,crzyglu 22,232,4207,5426,698,717,10,3542,4707,1781,1284079
%232LJR2L928,%239Q8C29RG,Titan League III,Iron League I,coLeader,1,0,15,100%nutz™,253,4155,5651,7577,468,9,3066,3620,2639,1320077
%232LJR2L928,%239PRPGC9U,Titan League III,Steel League II,coLeader,5,5,16,dipmstr,248,4120,5523,436,555,10,3485,4789,2352,1478214
%232LJR2L928,%239UQJ9UG8,Champion League I,Titanium League III,member,2,5,15,Silver Surfah,221,3792,5511,521,627,10,3868,4554,2611,1213317
%232LJR2L928,%23VQ8JP0C9,Champion League II,Titanium League III,member,2,2,15,crzyglu23,221,3711,4317,984,737,10,3828,4837,1976,1206013
%232LJR2L928,%23P9GCJ9LCG,Champion League II,Steel League I,member,0,3,15,Silverado,223,3563,5524,757,532,10,3601,4693,1832,1177376
%232LJR2L928,%2382LVL2J9R,Champion League II,Titanium League III,member,0,1,15,Quick Silver,229,3484,5554,616,512,10,3862,4659,2576,1196403
%232LJR2L928,%23PPGJJRVLU,Champion League II,Steel League III,member,0,3,16,Silver Lining,240,3455,5593,579,502,10,3261,3541,2819,1215394
%232LJR2L928,%232QYVJ9U29,Champion League II,Steel League I,coLeader,1,2,16,Silverfish,239,3424,5675,625,532,10,3778,4676,2132,1199384
%232LJR2L928,%2382YGP29YC,Champion League III,Steel League II,coLeader,0,1,16,silver bullet,249,3261,5616,547,502,10,3492,4795,2605,1300532
%232LJR2L928,%23P2GY9UVUU,Unranked,Steel League III,member,0,0,14,its ye nutzsac™,205,2865,5182,0,96,9,3335,3374,1401,1073635
%232LJR2L928,%23PQJGYRUY0,Master League II,Iron League I,member,0,2,13,bluejay,167,2790,3692,50,244,10,3056,3658,271,732045
%232LJR2L928,%23YY8UPP89C,Master League III,Iron League II,member,0,0,13,Silver Spoon,160,2721,3615,45,45,10,2895,3637,234,772934
%232LJR2L928,%23LLYP000RL,Master League III,Iron League I,member,0,3,13,littlestinker,169,2630,3082,77,94,9,3075,3456,459,911952
%232LJR2L928,%23PU9UJYLP2,Master League III,Steel League I,member,0,2,13,Legion,189,2631,4178,45,147,10,3731,4583,901,755122
%232LJR2L928,%23LJ2LR8QYQ,Crystal League II,Iron League II,member,0,5,13,musubi,159,2265,2722,77,174,10,2843,3402,178,954407
%23R2R8YQYV,%238PV9U9GLU,Champion League I,Steel League II,coLeader,12,3,14,Sam,219,3901,5003,35,0,9,3597,3769,2227,974208
%23R2R8YQYV,%238P200Q8G9,Champion League I,Brass League I,coLeader,1,2,16,Samuel2,212,3786,3898,92,0,7,2418,2583,2269,815313
%23R2R8YQYV,%23VGUY9GGR,Master League II,Iron League II,admin,1,3,12,DJ Ratty,166,2878,3640,0,0,8,2988,3029,827,191839
%23R2R8YQYV,%23YQ20CQPRY,Unranked,Steel League I,admin,0,0,12,Droyce,166,2726,3210,0,0,9,3675,3813,413,430826
%23R2R8YQYV,%23UPJQV20V,Unranked,Copper League III,leader,0,0,12,wild Wolf,155,2613,2899,10,35,5,1702,1755,1860,729435
%23R2R8YQYV,%23L98CY8UCC,Unranked,Brass League II,admin,0,0,14,lazybob,102,2596,3287,0,0,9,2397,2497,244,248793
%23R2R8YQYV,%2320G9YG0QR,Crystal League I,Brass League II,admin,2,3,13,dahpeeh,145,2547,3016,0,0,8,2200,2222,373,180013
%23R2R8YQYV,%232JLYGRPLG,Unranked,Brass League I,admin,0,0,11,Bio~,133,1828,2416,0,0,7,2563,2764,80,100
%23R2R8YQYV,%238YYGJQ82C,Unranked,,admin,0,0,11,gentle sam,111,1813,1936,0,0,0,0,0,1121,561104
%23R2R8YQYV,%232RY002QR8,Unranked,Wood League V,admin,0,0,11,i most be crazy,110,1726,1726,31,0,4,50,50,1109,556639
%23R2R8YQYV,%23QU02PUQP2,Gold League II,Copper League II,admin,16,1,10,Useful Sheu,78,1627,1665,0,185,5,1815,1967,62,250
%23R2R8YQYV,%23L0QV09GCU,Gold League III,Wood League III,admin,0,1,11,snake,92,1416,1584,0,0,4,228,228,542,552442
%23R2R8YQYV,%23L0GL0YVPR,Silver League I,Wood League III,admin,0,0,10,deadpool,91,1359,1475,1,0,4,239,239,587,540690
%23R2R8YQYV,%23GQRGLQYQ,Unranked,Wood League V,admin,0,0,9,Ajibota,94,1360,2408,0,0,2,50,50,186,0
%23R2R8YQYV,%23L0RUU9PGY,Silver League I,Wood League III,admin,0,2,11,treaker,92,1325,1431,0,0,4,206,206,515,546135
%23R2R8YQYV,%23GPQJR882Y,Silver League I,Stone League IV,admin,8,1,11,tarif..ff,51,1297,1366,0,31,4,1112,1170,0,18700
%23R2R8YQYV,%23G8Q9R2RUG,Unranked,,admin,0,0,10,straps,80,1171,1372,0,0,0,0,0,390,498875
%23R2R8YQYV,%23GPCGJJUGV,Unranked,,admin,0,0,10,LEDS,80,1149,1477,0,0,0,0,0,409,436255
%23R2R8YQYV,%23G9CQP8CCU,Silver League II,,admin,2,0,10,Your Nemesis,64,1131,1342,62,0,0,0,0,176,242832
%23R2R8YQYV,%23Q8PRQYLR9,Unranked,Copper League IV,admin,0,0,9,про,68,881,1072,0,0,5,1600,1662,19,53452
%23R2R8YQYV,%23Q80PLV9GV,Unranked,Wood League III,member,0,0,9,Core,47,874,942,0,0,3,278,278,43,26383
%23R2R8YQYV,%23QJQ2QV0C2,Unranked,,member,0,0,4,Rahila302,10,276,451,0,0,0,0,0,0,0
%23R2R8YQYV,%23QVCY2L2RU,Unranked,,member,0,0,3,gabri_dq_09,7,165,139,0,0,0,0,0,0,0
%23R2R8YQYV,%23G89PRRJ89,Titan League II,Titanium League I,leader,22,7,16,DESTRUCTOR♤J♤,232,4615,5274,582,622,10,4389,4519,1330,1065163
%232QU02LPR,%2388GV02V9G,Champion League I,Iron League I,coLeader,3,0,16,DEVASTADORA,213,4076,4608,661,0,9,3150,3528,1163,884390
%232QU02LPR,%2389GLVV09V,Champion League II,Iron League I,admin,5,0,14,paul,182,3417,4285,0,0,9,3091,3536,501,474662
%232QU02LPR,%238Q0L99JGG,Champion League III,Iron League III,coLeader,3,2,13,fuente,167,3249,3461,176,0,8,2642,2812,427,647194
%232QU02LPR,%2399RJYUVVP,Champion League III,Brass League II,coLeader,3,3,16,ARRASADOR<€>,124,3275,3433,0,166,9,2237,2555,265,725918
%232QU02LPR,%23G9YR8U9JG,Master League I,Iron League I,coLeader,13,1,12,Elioth,138,3101,3331,0,216,10,3052,3112,313,713707
%232QU02LPR,%23G8Y88R0UG,Master League I,Brass League II,coLeader,3,0,12,la fuente,128,2977,3134,1,0,7,2369,2417,288,682548
%232QU02LPR,%23QJ0QG0JVU,Master League III,Brass League III,admin,1,0,12,INFILTRADO,116,2539,2656,0,0,6,2099,2181,207,457877
%232QU02LPR,%23LCP9PUY9R,Crystal League I,Brass League II,admin,23,0,11,"JEUDY C,R",101,2390,2681,20,34,6,2356,2435,113,165330
%232QU02LPR,%23QY2RLYGRP,Unranked,Brass League III,member,0,0,12,☆○<G@brieL>○☆03,140,2227,2627,0,0,7,2067,2260,400,461995
%232QU02LPR,%2329J2P22QC,Crystal League III,Brass League I,member,3,0,11,JEAN 06,126,2184,2295,0,0,8,2511,2535,67,208193
%232QU02LPR,%232C02V8GR8,Crystal League III,Stone League V,coLeader,1,0,11,SIN ALMA,123,2114,2602,65,67,5,1041,1042,798,194702
%232QU02LPR,%23899JCPPG9,Gold League I,Brass League II,admin,12,2,9,<BrayanM>™,83,1815,2116,0,30,6,2293,2344,27,245299
%232QU02LPR,%23QVGUQYJJQ,Gold League II,Copper League IV,admin,8,0,9,ZORO$1$,78,1557,1668,161,216,6,1682,1706,32,180435
%232QU02LPR,%23G8PULL8RL,Gold League III,Copper League II,member,7,2,10,jousephcr18,83,1483,1824,27,0,6,1845,2012,87,213397
%232QU02LPR,%23Y02JY2CCL,Gold League III,Stone League II,member,17,1,9,Emanuel17,62,1431,1479,0,0,6,1378,1378,16,93166
%232QU02LPR,%23QV8V9YJRG,Gold League III,Copper League III,coLeader,8,2,13,INDESTRUCTIBLE,83,1414,1439,0,0,6,1720,1753,88,345864
%232QU02LPR,%23G82RCY28C,Silver League I,Stone League IV,member,16,0,11,KRICO,42,1256,1300,0,77,4,1149,1158,24,32030
%232QU02LPR,%23GG2JPVL0C,Silver League I,Clay League I,admin,26,0,11,ESPECTRO,36,1246,1250,0,0,4,960,1000,22,36495
%232QU02LPR,%23G2CULRGYJ,Silver League II,Stone League II,admin,3,0,8,Jeudy,50,1098,1268,0,20,4,1383,1415,34,34946
%232QU02LPR,%23G88Q0CVCL,Bronze League I,Clay League I,member,4,0,6,máxi,32,710,857,0,0,3,907,923,0,0
%232QU02LPR,%23GY22GPG8G,Bronze League I,Clay League IV,admin,0,2,5,Kratos,20,629,661,0,45,3,629,629,0,0
%232QU02LPR,%23GL2LYYL9J,Bronze League I,Wood League III,admin,14,2,8,caleb,24,629,641,0,200,2,245,248,0,0
%232QU02LPR,%23GQJUJ9LLC,Bronze League I,Wood League II,member,1,0,6,la flor de loto,29,610,714,0,0,2,394,394,3,0
%232QU02LPR,%23Q8CUYGUU8,Bronze League III,Wood League V,member,1,1,4,Valk^Ar,13,444,456,0,0,2,79,79,0,0
%232QU02LPR,%23G2PGC0Y89,Unranked,Brass League II,coLeader,0,0,12,РОККИ РАМЕТОВ,166,2667,3337,0,0,8,2346,2549,881,100309
%23L2JPGVPU,%232YUV2JLQQ,Unranked,Iron League II,coLeader,0,0,13,killer,161,2661,3169,0,0,9,2831,2853,680,248518
%23L2JPGVPU,%23RQC2URVQ,Unranked,Titanium League III,coLeader,0,0,13,DILMUROT,195,2542,5052,0,0,9,3949,5042,737,472716
%23L2JPGVPU,%232Y8LVLCRG,Unranked,Iron League III,member,0,0,12,A S S A S I N'S,136,2400,2830,0,0,8,2694,2711,291,275803
%23L2JPGVPU,%23QL2YGG2RC,Unranked,Iron League II,coLeader,0,0,12,MR MARMOK,160,2197,3361,211,84,8,2976,3200,993,285228
%23L2JPGVPU,%232Q8YURULQ,Unranked,Brass League III,coLeader,0,0,13,seka,112,2195,2800,0,0,6,2014,2299,291,135823
%23L2JPGVPU,%23LRGPQ2R0P,Gold League I,Brass League I,coLeader,3,3,12,aso_01,121,1967,2632,0,0,7,2480,2577,394,375302
%23L2JPGVPU,%23G0CYPGUVG,Unranked,Brass League III,coLeader,0,0,11,Mr.NuRiK.777,92,1912,2357,0,0,7,2131,2309,262,261564
%23L2JPGVPU,%23QRUGC0G00,Unranked,Stone League II,coLeader,0,0,11,Saidakhmad,127,1755,2703,0,268,5,1381,1441,1218,192215
%23L2JPGVPU,%23RQ8L22R9,Unranked,Copper League III,coLeader,0,0,12,DILNUR,161,1605,3476,0,0,7,1755,1849,1009,99850
%23L2JPGVPU,%2322PC2QJQY,Unranked,Copper League I,coLeader,0,0,10,_САРДАР_,91,1530,2606,0,0,6,1922,2037,244,122365
%23L2JPGVPU,%23LLU2GVGR2,Unranked,Copper League II,coLeader,0,0,10,❤Kamranbek❤,90,1526,1533,0,0,5,1849,1969,277,166534
%23L2JPGVPU,%23PUYR82QV9,Unranked,Iron League III,leader,0,0,12,Said,173,1538,3310,0,0,9,2720,3017,1260,353936
%23L2JPGVPU,%232QY90LQPL,Unranked,Brass League II,admin,0,0,11,_-BILAL-_,138,1503,2667,0,268,7,2320,2545,1227,262907
%23L2JPGVPU,%23L9JU0GLG9,Unranked,Stone League II,coLeader,0,0,10,killer,97,1477,1937,0,0,5,1395,1406,547,149045
%23L2JPGVPU,%23G8YQPJYJP,Unranked,Copper League III,coLeader,0,0,10,Сардар,80,1395,2521,0,0,5,1712,1950,270,87426
%23L2JPGVPU,%23LRRVV0RPR,Unranked,Stone League V,coLeader,0,0,9,KING,63,1364,1900,0,0,4,1092,1130,151,85596
%23L2JPGVPU,%23G0QVQ9YRC,Unranked,Stone League I,admin,0,0,9,nur007,46,1135,1145,0,0,5,1482,1538,13,48180
%23L2JPGVPU,%23G8LJP82RL,Unranked,Brass League III,coLeader,0,0,9,JAHANGIR 02,79,1114,1730,0,0,6,2091,2136,121,164351
%23L2JPGVPU,%23G989GJ9CR,Unranked,Copper League IV,member,0,0,9,KAROL07,73,991,1241,0,0,7,1631,1732,51,56147
%23L2JPGVPU,%23QGLVGJYC8,Unranked,Wood League V,coLeader,0,0,11,Братан,46,978,1320,0,0,3,50,50,208,21113
%232LYYVJUR9,%23P02JRRY9G,Champion League II,Steel League II,coLeader,10,0,13,D0nJuaN,189,3712,3987,1607,722,9,3404,3482,1491,639095
%232LYYVJUR9,%23YR09Y9RQ,Champion League II,Steel League II,leader,8,0,14,P0rTgaS,215,3598,4149,1330,681,9,3449,3551,1785,822861
%232LYYVJUR9,%2388LL8UGLV,Champion League III,Brass League II,coLeader,4,0,13,pasadena,172,3430,3759,0,0,7,2375,2539,1514,880250
%232LYYVJUR9,%23QUP0UUCR0,Champion League III,Steel League I,coLeader,7,0,13,_PorTgaS_,158,3346,3391,754,850,10,3636,3644,875,617587
%232LYYVJUR9,%23QRPYRUG2P,Master League III,Brass League I,admin,0,0,12,Yogi_$,138,2779,3259,0,0,8,2488,2534,658,31100
%232LYYVJUR9,%23QQQ992U0R,Master League II,Iron League I,admin,15,1,12,MugiWarA,135,2800,2828,0,1438,9,3090,3193,766,493399
%232LYYVJUR9,%23LYU0RLPV9,Unranked,Brass League III,admin,0,0,11,Awan Walker,131,2165,4197,0,0,6,2180,2308,468,57863
%232LYYVJUR9,%23QLRGPVCVU,Unranked,Copper League II,admin,0,0,11,ATL°LuxurY,107,2061,2310,0,0,6,1836,1978,502,379360
%232LYYVJUR9,%23G2CUQ2902,Unranked,Brass League II,admin,0,0,11,Sherooo,110,1951,1955,0,0,8,2346,2406,284,273068
%232LYYVJUR9,%23QL98YPVLJ,Unranked,Brass League I,admin,0,0,11,Chocoa,118,1900,2258,0,0,8,2583,2597,377,187763
%232LYYVJUR9,%23QCVPQQ0G,Unranked,Copper League I,admin,0,0,12,Afdal Bafadal,134,1852,2149,0,0,7,1944,1952,939,391738
%232LYYVJUR9,%23LUR9U8G8L,Gold League II,Brass League II,member,3,0,10,ToKay,101,1707,2041,0,0,6,2271,2358,299,109240
%232LYYVJUR9,%23QR2CG9QCQ,Gold League II,Copper League IV,admin,1,0,10,Mannntannn,90,1685,2069,0,0,6,1636,1645,335,185118
